ticker
ROOT
APPN
FUTU
GDRX
BKNG
EXPE
MA
ADBE
TSLA
LYFT
PANW
ESTC
SPG
FB
JMIA
TWLO
LULU
LMND
SAGE
ETSY
LRCX
NET
WORK
NFLX
MTB
DKNG
EQIX
EB
PSTH
ARKK
IPOB
TJX
QDEL
DOW
DOCU
CVS
PENN
MGM
MSFT
AMZN
GOOGL
WBA
GDDY
F
BA
GPS
VIAC
MDP
HUYA
ICLN
MJ
PTON
WING
OTRK
FSLY
MELI
SE
CSCO
NNOX
ASAN
AVGO
QCOM
WFC
ISRG
DPZ
PZZA
ROKU
COF
TDOC
CPRI
GRWG
CRM
GLD
SLV
RKT
MDB
TEAM
RDFN
UPS
SQ
LOGI
AMWL
FVRR
TLRY
CRWD
TTD
DDOG
PLAY
U
AMT
MTCH
SDGR
RHP
JPM
SPCE
TTWO
DXCM
VXX
TWOU
RDS-A
BABA
